"id","label","followers","genres","popularity","image_url"
"0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","37349922","rap","92","https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71"
"0fGcIStdT1OpFFhOC7Wp36","Teezo Touchdown","369449","","68","https://i.scdn.co/image/ab6761610000e5eb8c248ffca9237c963ad743a4"
"3TVXtAsR1Inumwj472S9r4","Drake","96657439","rap, hip hop","97","https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9"
"699OTQXzgjhIYAHMy9RyPD","Playboi Carti","13244744","rage rap","87","https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a"
"6vWDO969PvNqNYHIOW5v0m","Beyoncé","39806161","","86","https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0"
"1jBoSSrbz9n4ehQWA4cZgB","Rob49","283739","","65","https://i.scdn.co/image/ab6761610000e5ebbd66bbd69d8f92fd5d2268ea"
"1URnnhqYAYcrqrcwql10ft","21 Savage","21915975","","88","https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2"
"1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","100972980","","97","https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae"
"1zNqQNIdeOUZHb8zbZRFMX","Swae Lee","2604111","","79","https://i.scdn.co/image/ab6761610000e5ebf1be22786da29b0a1284c0a5"
"67lytN32YpUxiSeWlKfHJ3","Yung Lean","1057844","cloud rap","67","https://i.scdn.co/image/ab6761610000e5eb9203ea92f4c538f41e6eea8c"
"504DdVupqJJUEkzmHzJEfs","Dave Chappelle","103748","comedy","46","https://i.scdn.co/image/ab6761610000e5eb342f9f48ebc8abd33c825d0f"
"50co4Is1HCEo8bhOyUWKpn","Young Thug","11361196","rap, melodic rap, trap","84","https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed"
"0ABk515kENDyATUdpCKVfW","Westside Gunn","737001","boom bap, alternative hip hop, jazz rap","69","https://i.scdn.co/image/ab6761610000e5eb10b517960f313575989c44c1"
"0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","7440681","","79","https://i.scdn.co/image/ab6761610000e5eb876faa285687786c3d314ae0"
"4q3ewBCX7sLwd24euuV69X","Bad Bunny","91807872","reggaeton, trap latino, latin, urbano latino","100","https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13"
"15MhssYzR2iVJ9M3dJtsqm","Artists Against","685","","14","https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b"
"1RyvyyTE3xzB2ZywiAwp0i","Future","20643029","rap","91","https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb"
"53KwLdlmrlCelAZMaLVZqU","James Blake","1520894","","69","https://i.scdn.co/image/ab6761610000e5eb93fe5fc8fdb5a98248911a07"
"7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","8453387","latin","77","https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49"
"5f7VJjfbwm532GiveGC0ZK","Lil Baby","19929495","","87","https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd"
"7A8S43ryYdbWpJKeHRZRcq","JACKBOYS","933775","","64","https://i.scdn.co/image/ab6761610000e5eb440b705481183f0ddaa521d7"
"2RDOrhPqAM4jzTRCEb19qX","Sheck Wes","1677451","","61","https://i.scdn.co/image/ab6761610000e5eb1709525276c11ad492f56354"
"4Gso3d4CscCijv0lmajZWs","Don Toliver","6205844","","86","https://i.scdn.co/image/ab6761610000e5eb62d52993e245cb161f89b01c"
"0VRj0yCOv2FXJNP47XQnx5","Quavo","7669313","","78","https://i.scdn.co/image/ab6761610000e5ebd52229f479361a2375f6021c"
"4DdkRBBYG6Yk9Ka8tdJ9BW","Offset","5017230","","78","https://i.scdn.co/image/ab6761610000e5eb628143c3dd14fc995f925d56"
"0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","15029305","brooklyn drill, drill, new york drill","78","https://i.scdn.co/image/ab6761610000e5eb597f9edd2cd1a892d4412b09"
"6extd4B6hl8VTmnlhpl2bY","Huncho Jack","1199697","","57","https://i.scdn.co/image/ab67616d0000b273631973893e94d01cfcdf0e5e"
"3EW0kQ1skZiK1NHg3Spt9J","Takeoff","2089782","","66","https://i.scdn.co/image/ab6761610000e5ebd986fb8037e0b8e2f9f4f37d"
"17lzZA2AlOHwCwFALHttmp","2 Chainz","8206822","rap, southern hip hop","77","https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c"
"46K14JAfAHpxTSkb6KkFfN","Juicy BAE","63515","neoperreo","53","https://i.scdn.co/image/ab6761610000e5eb72d74dd3c4123d648cf54cae"
"4dYQmk5ma04mZ1KJ9KkAQK","Kacy Hill","114747","","63","https://i.scdn.co/image/ab6761610000e5eb28dd82d4f0dc63d3488d9c78"
"15iVAtD3s3FsQR4w1v6M0P","Chief Keef","5505609","drill","76","https://i.scdn.co/image/ab6761610000e5ebf3d48b48b4603bd55f489655"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West","29367123","rap","92","https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a"
"1uNFoZAHBGtllmzznpCI3s","Justin Bieber","81111915","","90","https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36"
"6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","791317","chillwave","60","https://i.scdn.co/image/ab6761610000e5eb07ca4442cdd56533724c699b"
"5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","4957193","","75","https://i.scdn.co/image/ab6761610000e5eba59f2f483877c8d0142f71f3"
"5lHRUCqkQZCIWeX7xG4sYT","Rich Homie Quan","2934634","southern hip hop","66","https://i.scdn.co/image/ab6761610000e5ebf4b802f5eb81d33fd2db292f"
"3mIj9lX2MWuHmhNCA7LSCW","The 1975","7656771","","77","https://i.scdn.co/image/ab6761610000e5eb89348336354096fd4e36ca73"
"0c173mlxpT3dSFRgMO8XPh","Big Sean","11386284","","76","https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff"
"6oMuImdp5ZcFhWP0ESe6mG","Migos","14314049","trap","75","https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34"
"0xTcxl35DKXUeYRWqY10w6","Peewee Longway","538626","","50","https://i.scdn.co/image/ab6761610000e5eb4ff8940e951d730928fc470b"
"6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","1489828","alternative r&b","66","https://i.scdn.co/image/ab6761610000e5eb5dab878686269b7b8f4c3ab1"
"6trIghKwHRUyxwvm66HLHH","Fousheé","230767","","60","https://i.scdn.co/image/ab6761610000e5eb7696bee0605994f448916795"
"3eJjiOCSez69UyvyrttHoD","Isaiah Rusk","712","","27","https://i.scdn.co/image/ab6761610000e5eb343566225931dd4b67b626ca"
"2HPaUgqeutzr3jx5a9WyDV","PARTYNEXTDOOR","8567987","r&b","88","https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844"
"30AbYddXmSkDXhnW6lB0ll","Pimmie","21684","","64","https://i.scdn.co/image/ab6761610000e5eb67c85b5eed797ef66c7aea88"
"2rmkQLzj0k4nZdQehOUByO","Chino Pacas","3740650","corridos tumbados, corrido, corridos bélicos, música mexicana, electro corridos","80","https://i.scdn.co/image/ab6761610000e5eb52f3df55b54da325acb93e84"
"1ooV8YZC1KbpEcrmI8WH0F","Yebba","577947","","72","https://i.scdn.co/image/ab6761610000e5ebc7c93edb239b99c22a84bdd9"
"6l3HvQ5sa6mXTsMTB19rO5","J. Cole","25842968","rap","85","https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc"
"3qiHUAX7zY4Qnjx8TNUzVx","Yeat","5688222","rage rap","80","https://i.scdn.co/image/ab6761610000e5eb2f87a26be4c22046527a8047"
"3DbwFQlvLxRSi2uX8mf81A","Sexyy Red","1912597","","80","https://i.scdn.co/image/ab6761610000e5ebd341871daa2c688ea24dcf02"
"6icQOAFXDZKsumw3YXyusw","Lil Yachty","10550489","","78","https://i.scdn.co/image/ab6761610000e5eb86c7c38d4c8c461dba55035c"
"3hcs9uc56yIGFCSy9leWe7","Lil Durk","8668019","drill","81","https://i.scdn.co/image/ab6761610000e5eb09791422702c3fa9780468d4"
"4fxd5Ee7UefO4CUXgwJ7IP","GIVĒON","4476518","r&b","79","https://i.scdn.co/image/ab6761610000e5eb47864450af324512021641e5"
"3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","9878688","hip hop, east coast hip hop, rap","83","https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4"
"08Ld63UgKrJ0nZnCkzHtzc","Project Pat","902103","memphis rap, southern hip hop, crunk, gangster rap","66","https://i.scdn.co/image/ab6761610000e5eb19438618e234a41ff1ccd66b"
"687cZJR45JO7jhk1LHIbgq","Tems","2951346","afrobeats, alté, afrobeat","76","https://i.scdn.co/image/ab6761610000e5eb22d7d6f8981c7a27bf68a382"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign","6225041","","83","https://i.scdn.co/image/ab6761610000e5eb24b3c0f33bc5e3f6a53f84d7"
"55Aa2cqylxrFIXC767Z865","Lil Wayne","16470450","rap, hip hop","88","https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4"
"1sBkRIssrMs1AbVkOJbc7a","Rick Ross","7511861","southern hip hop","77","https://i.scdn.co/image/ab6761610000e5eb8196a8109c28a8b8aca28fae"
"7bXgB6jMjp9ATFy66eO08Z","Chris Brown","25537978","r&b","87","https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728"
"14CHVeJGrR5xgUGQFV5BVM","Fivio Foreign","1398884","brooklyn drill, new york drill, drill, uk drill","66","https://i.scdn.co/image/ab6761610000e5eb366afadc7bfc1671fb1d4f2c"
"2UyyBkpzN5w3hzZBZGvRZb","Sosa Geek","6504","brooklyn drill, new york drill, drill","39","https://i.scdn.co/image/ab67616d0000b2733154f333558b0bb3d0bab250"
"5ooSG9S0glqP5ZrqqaHBvT","James Fauntleroy","32144","","55","https://i.scdn.co/image/ab6761610000e5ebe48a7f38c0aed50db51b3fbe"
"3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","34877051","","84","https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd"
"3pbi8H08p95NUZ7m6ybxUV","Static Major","13612","","62","https://i.scdn.co/image/ab6761610000e5eb5ccc476e8b18673e01d87420"
"3S0tlB4fE7ChxI2pWz8Xip","Giggs","537681","grime","61","https://i.scdn.co/image/ab6761610000e5eb4267fcfc5da1c62eff994b29"
"6wMr4zKPrrR0UVz08WtUWc","Black Coffee","1351144","afro house, house","64","https://i.scdn.co/image/ab6761610000e5eb980bed716b6784a79aabf00e"
